round_index,slot,role,participant_id,arrival_offset_ms
4,133,component,74,0.766039
4,133,component,75,0.778913
4,133,component,73,0.783920
4,133,component,79,0.788927
4,133,component,76,0.794888
4,133,component,82,0.802994
4,133,component,81,0.807047
4,133,component,80,0.813961
4,133,component,77,0.815868
4,133,component,78,0.824928
4,133,component,85,0.839949
4,133,component,83,0.849962
4,133,component,89,0.856876
4,133,component,86,0.859976
4,133,component,87,0.873089
4,133,component,88,0.879049
4,133,component,90,0.894070
4,133,component,84,0.910997
4,133,proxy,15,95.956087
4,133,proxy,12,96.188068
4,133,proxy,33,96.188068
4,133,proxy,4,96.308947
4,133,proxy,27,96.325874
4,133,proxy,39,96.383095
4,133,proxy,2,96.405029
4,133,proxy,8,96.468925
4,133,proxy,16,96.549988
4,133,proxy,24,96.567869
4,133,proxy,19,96.633911
4,133,proxy,35,96.695900
4,133,proxy,3,96.818924
4,133,proxy,14,96.818924
4,133,proxy,34,96.826077
4,133,proxy,37,96.947908
4,133,proxy,36,96.967936
4,133,proxy,18,97.012043
4,133,proxy,26,97.020864
4,133,proxy,6,97.142935
4,133,proxy,10,97.389936
4,133,proxy,29,101.393938
4,133,proxy,28,102.058887
4,133,proxy,22,103.149891
4,133,proxy,21,181.910992
4,133,proxy,5,182.018042
4,133,proxy,11,182.590008
4,133,proxy,32,182.960033
4,133,proxy,20,182.993889
4,133,proxy,23,183.090925
4,133,proxy,0,183.887005
4,133,proxy,17,183.892965
4,133,proxy,7,183.994055
4,133,proxy,9,184.105873
4,133,proxy,25,184.136868
4,133,proxy,30,184.375048
4,133,proxy,13,185.296059
4,133,proxy,38,185.857058
4,133,proxy,1,194.321871
4,133,proxy,31,287.374973
5,136,component,2,0.185966
5,136,component,4,0.187159
5,136,component,1,0.195980
5,136,component,3,0.198126
5,136,component,5,0.219107
5,136,component,6,0.223160
5,136,component,8,0.242949
5,136,component,7,0.245094
5,136,component,9,0.262022
5,136,component,11,0.269175
5,136,component,10,0.278950
5,136,component,14,0.293970
5,136,component,12,0.306129
5,136,component,15,0.324011
5,136,component,13,0.326157
5,136,component,17,0.326157
5,136,component,16,0.339985
5,136,component,21,0.359058
5,136,component,18,0.374079
5,136,component,19,0.385046
5,136,component,22,0.399113
5,136,component,23,0.401974
5,136,component,20,0.425100
5,136,component,25,0.425100
5,136,component,26,0.425100
5,136,component,29,0.431061
5,136,component,24,0.440121
5,136,component,31,0.466108
5,136,component,27,0.475168
5,136,component,28,0.475168
5,136,component,30,0.494957
5,136,component,33,0.499010
5,136,component,32,0.504971
5,136,component,34,0.514984
5,136,component,37,0.524998
5,136,component,41,0.539064
5,136,component,36,0.543118
5,136,component,38,0.545979
5,136,component,35,0.547171
5,136,component,39,0.547171
5,136,component,44,0.548124
5,136,component,40,0.573158
5,136,component,47,0.573158
5,136,component,42,0.576973
5,136,component,43,0.578165
5,136,component,45,0.595093
5,136,component,51,0.599146
5,136,component,46,0.600100
5,136,component,50,0.617027
5,136,component,49,0.622034
5,136,component,48,0.627041
5,136,component,52,0.637054
5,136,component,56,0.641108
5,136,component,53,0.643969
5,136,component,55,0.666142
5,136,component,62,0.667095
5,136,component,54,0.668049
5,136,component,60,0.668049
5,136,component,61,0.674009
5,136,component,64,0.678062
5,136,component,57,0.684023
5,136,component,59,0.686169
5,136,component,63,0.692129
5,136,component,58,0.699997
5,136,component,65,0.718117
5,136,component,71,0.750065
5,136,component,70,0.754118
5,136,component,72,0.760078
5,136,component,68,0.761032
5,136,component,67,0.762939
5,136,component,66,0.764132
5,136,component,69,0.765085
5,136,component,73,0.771999
5,136,component,74,0.772953
5,136,component,79,0.787973
5,136,component,76,0.792980
5,136,component,82,0.802994
5,136,component,77,0.805140
5,136,component,81,0.805140
5,136,component,80,0.812054
5,136,component,75,0.820160
5,136,component,78,0.820160
5,136,component,85,0.833988
5,136,component,87,0.833988
5,136,component,89,0.849009
5,136,component,86,0.856161
5,136,component,83,0.868082
5,136,component,88,0.878096
5,136,component,90,0.897169
5,136,component,84,0.911951
5,136,proxy,26,95.417023
5,136,proxy,4,95.438957
5,136,proxy,7,95.682144
5,136,proxy,3,95.755100
5,136,proxy,8,95.875025
5,136,proxy,30,95.978975
5,136,proxy,9,96.124172
5,136,proxy,5,96.132994
5,136,proxy,11,96.145153
5,136,proxy,17,96.246958
5,136,proxy,32,96.296072
5,136,proxy,2,96.521139
5,136,proxy,16,96.605062
5,136,proxy,19,96.657038
5,136,proxy,36,97.128153
5,136,proxy,31,97.258091
5,136,proxy,6,97.288132
5,136,proxy,39,97.445011
5,136,proxy,29,100.470066
5,136,proxy,1,102.625132
5,136,proxy,23,125.308037
5,136,proxy,12,181.060076
5,136,proxy,10,182.471991
5,136,proxy,21,182.677031
5,136,proxy,14,182.798147
5,136,proxy,18,183.005095
5,136,proxy,35,183.076143
5,136,proxy,34,183.139086
5,136,proxy,27,183.333158
5,136,proxy,15,183.410168
5,136,proxy,0,183.921099
5,136,proxy,33,184.354067
5,136,proxy,37,184.398174
5,136,proxy,24,185.177088
5,136,proxy,20,187.037945
5,136,proxy,13,189.880133
5,136,proxy,28,195.140123
5,136,proxy,22,196.967125
5,136,proxy,38,289.630175
5,136,proxy,25,290.274143
6,137,component,2,0.030041
6,137,component,1,0.051022
6,137,component,3,0.052929
6,137,component,4,0.066996
6,137,component,6,0.079870
6,137,component,5,0.084877
6,137,component,8,0.098944
6,137,component,7,0.109911
6,137,component,9,0.115871
6,137,component,11,0.128031
6,137,component,10,0.149965
6,137,component,12,0.160933
6,137,component,13,0.174999
6,137,component,14,0.181913
6,137,component,15,0.181913
6,137,component,16,0.193834
6,137,component,17,0.228882
6,137,component,18,0.228882
6,137,component,19,0.241995
6,137,component,23,0.247955
6,137,component,22,0.257015
6,137,component,21,0.273943
6,137,component,24,0.295877
6,137,component,25,0.300884
6,137,component,27,0.329971
6,137,component,28,0.330925
6,137,component,29,0.352859
6,137,component,30,0.355959
6,137,component,20,0.366926
6,137,component,26,0.367880
6,137,component,32,0.367880
6,137,component,33,0.375032
6,137,component,31,0.391960
6,137,component,36,0.395060
6,137,component,35,0.401974
6,137,component,34,0.412941
6,137,component,40,0.423908
6,137,component,37,0.431061
6,137,component,38,0.442982
6,137,component,41,0.445843
6,137,component,39,0.460863
6,137,component,42,0.485897
6,137,component,43,0.485897
6,137,component,46,0.494003
6,137,component,45,0.504017
6,137,component,44,0.509977
6,137,component,48,0.524044
6,137,component,50,0.525951
6,137,component,47,0.541925
6,137,component,51,0.556946
6,137,component,49,0.576019
6,137,component,52,0.597954
6,137,component,53,0.613928
6,137,component,54,0.622988
6,137,component,55,0.627041
6,137,component,57,0.639915
6,137,component,56,0.642061
6,137,component,59,0.644922
6,137,component,58,0.658035
6,137,component,60,0.663996
6,137,component,64,0.681877
6,137,component,61,0.682831
6,137,component,62,0.694036
6,137,component,66,0.697851
6,137,component,63,0.701904
6,137,component,68,0.706911
6,137,component,67,0.715971
6,137,component,65,0.716925
6,137,component,72,0.750065
6,137,component,71,0.754833
6,137,component,69,0.757933
6,137,component,70,0.762939
6,137,component,77,0.776052
6,137,component,73,0.782013
6,137,component,75,0.787973
6,137,component,78,0.788927
6,137,component,74,0.792027
6,137,component,79,0.794888
6,137,component,76,0.810862
6,137,component,83,0.815868
6,137,component,80,0.819921
6,137,component,81,0.821829
6,137,component,82,0.821829
6,137,component,87,0.826836
6,137,component,85,0.853062
6,137,component,89,0.853062
6,137,component,86,0.862837
6,137,component,88,0.885010
6,137,component,90,0.902891
6,137,component,84,0.917912
6,137,proxy,4,95.242023
6,137,proxy,21,95.615864
6,137,proxy,6,95.898867
6,137,proxy,2,95.916986
6,137,proxy,32,95.965862
6,137,proxy,9,96.215963
