[ec2-user@ip-172-31-40-4 ~]$ cat m7i-flex.2xlarge.log
# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 01:00:00
Index   CPU-001   CPU-002   CPU-003   CPU-004   CPU-005   CPU-006   CPU-007
2640          0         0         1        24         1         0         1
2650          1         1         1        20         0         1         0
2660          0         0         0        20         0         0         0
2670          1         0         0        15         0         1         0
2680          0         2         0        28         1         1         0
2690          0         0         0        24         0         0         0
2700          0         0         0        23         0         0         0
2710          0         0         0        18         0         0         0
2720          0         0         1        14         1         0         1
2730          1         0         0        25         0         0         0
2740          0         0         0        11         0         0         0
2750          0         0         0        16         0         0         0
2760          0         0         0        14         0         0         0
2770          1         1         0        23         1         0         0
2780          0         0         0        14         0         1         0
2790          0         0         0        27         0         0         0
2800          0         1         1        15         0         1         1
2810          1         0         0        16         1         1         0
2820          0         1         0        21         0         0         0
2830          0         0         0        20         0         0         0
2840          0         0         0        23         0         0         0
2850          0         0         0        15         0         0         1
2860          0         0         1        16         0         0         0
2870          1         0         0        25         1         0         0
2880          0         0         0        15         0         0         0
2890          1         0         0        30         0         0         0
2900          0         0         0        33         0         0         0
2910          0         0         0        24         1         0         0
2920          0         0         1        34         0         0         1
2930          0         0         0        28         0         0         0
2940          0         0         2        36         0         0         0
2950          0         0         0        30         0         0         0
2960          0         0         0        24         0         0         0
2970          0         0         0        29         0         0         0
2980          1         2         0        20         1         2         0
2990          0         0         0        18         0         0         0
3000          0         0         0        16         0         0         0
3010          0         0         2        19         0         0         3
3020          0         0         0        15         0         0         0
3030          1         0         0        13         1         0         0
3040          0         1         0        28         0         1         0
3050          0         0         0        11         0         0         0
3060          0         0         0         8         0         0         0
3070          1         1         0        16         0         2         0
3080          0         1         0        13         2         0         0
3090          1         0         0        12         0         0         0
3100          0         0         0        13         0         0         0
3110          0         0         0        19         0         0         0
3120          0         0         0         8         0         0         0
3130          0         0         0        13         0         0         0
3140          0         0         0        15         0         0         0
3150          0         0         0        13         0         0         0
3160          0         0         0        13         0         0         0
3170          0         0         0        11         0         0         0
3180          0         0         0        12         0         0         0
3190          0         0         0        11         0         0         0
3200          0         0         0        12         0         0         0
3210          0         2         0        10         0         2         0
3220          0         0         0        12         0         0         0
3230          0         0         0        14         0         0         0
3240          0         0         0        13         0         0         0
3250          0         0         0        18         0         0         0
3260          0         0         0        13         0         0         0
3270          0         0         0        16         0         1         0
3280          0         1         0        10         0         0         0
3290          0         0         0         7         0         0         1
3300          0         0         0        15         0         0         0
3310          0         0         1        12         0         0         1
3320          0         0         1        12         0         0         0
3330          0         0         0        18         0         0         0
3340          0         0         0         7         0         0         0
3350          0         0         0        11         0         1         0
3360          0         1         0        10         0         0         0
3370          0         0         0        11         0         0         0
3380          0         0         0        11         0         0         0
3390          0         0         0        12         0         0         0
3400          0         1         0        16         0         0         0
3410          0         0         0        12         0         1         0
3420          0         0         0        19         0         0         0
3430          2         0         0        13         1         0         0
3440          0         0         0        17         1         0         0
3450          0         0         0        14         0         0         0
3460          0         0         0        20         0         0         0
3470          0         0         0        21         0         0         0
3480          0         0         0        14         0         0         0
3490          0         0         0        13         0         0         0
3500          0         0         0        10         0         0         0
3510          0         0         0        14         1         0         0
3520          1         0         0        17         0         0         0
3530          0         0         1        18         0         0         0
3540          0         0         0         9         0         0         1
3550          0         0         0        15         0         0         0
3560          1         0         0        15         1         0         0
3570          0         0         1         8         0         0         0
3580          0         0         0        20         0         0         1
3590          1         0         0        11         1         0         0
3600          0         1         0        12         0         1         0
3610          0         0         0        16         0         0         0
3620          0         0         0         9         0         0         0
3630          0         0         0        14         0         0         1
3640          0         0         1         7         0         0         0
3650          0         0         0        16         0         0         0
3660          0         1         0        10         0         1         0
3670          0         0         0        14         0         0         0
3680          0         0         0        12         0         0         0
3690          0         1         0         9         0         1         0
3700          0         0         0         7         0         0         0
3710          0         0         0        15         0         0         0
3720          0         0         0        13         0         0         0
3730          0         0         0        14         0         0         0
3740          0         0         0         7         0         0         0
3750          0         0         0         5         0         0         0
3760          0         0         0         9         0         0         0
3770          0         0         0         9         0         0         0
3780          0         0         0        15         0         0         0
3790          0         0         0         9         0         0         0
3800          0         0         0         8         0         0         0
3810          0         0         0         6         0         0         0
3820          0         0         0        10         0         0         0
3830          0         0         1         6         0         0         1
3840          0         0         0        11         0         0         0
3850          0         0         0        11         0         0         0
3860          0         0         0        11         0         0         0
3870          0         0         0        13         0         0         0
3880          0         1         0         9         0         1         0
3890          0         0         1         9         0         0         1
3900          0         0         0         7         0         0         0
3910          0         0         0        12         0         0         0
3920          0         0         0        15         0         0         0
