hecking tx_Data_request for 793365 times 
[44.0] Checking tx_Data_request for 793557 times 
[44.0] Checking tx_Data_request for 793558 times 
[44.0] Checking tx_Data_request for 793559 times 
[44.0] Checking tx_Data_request for 793560 times 
[44.0] Checking tx_Data_request for 793561 times 
[44.0] Checking tx_Data_request for 793562 times 
[44.0] Checking tx_Data_request for 793563 times 
[44.0] Checking tx_Data_request for 793564 times 
[44.0] Checking tx_Data_request for 793565 times 
[44.0] Checking tx_Data_request for 793566 times 
[44.0] Checking tx_Data_request for 793567 times 
[44.0] Checking tx_Data_request for 793568 times 
[44.0] Checking tx_Data_request for 793569 times 
[44.0] Checking tx_Data_request for 793570 times 
[44.0] Checking tx_Data_request for 793571 times 
[44.0] Checking tx_Data_request for 793572 times 
[44.0] Checking tx_Data_request for 793573 times 
[44.0] Checking tx_Data_request for 793574 times 
[44.0] Checking tx_Data_request for 793575 times 
[44.0] Checking tx_Data_request for 793576 times 
[44.0] Checking tx_Data_request for 793577 times 
[44.0] Checking tx_Data_request for 793578 times 
[44.0] Checking tx_Data_request for 793579 times 
[44.0] Checking tx_Data_request for 793580 times 
[44.0] Checking tx_Data_request for 793581 times 
[44.0] Checking tx_Data_request for 793582 times 
[44.0] Checking tx_Data_request for 793583 times 
[44.0] Checking tx_Data_request for 793584 times 
[44.0] Checking tx_Data_request for 793585 times 
[44.0] Checking tx_Data_request for 793586 times 
[44.0] Checking tx_Data_request for 793587 times 
[44.0] Checking tx_Data_request for 793588 times 
[44.0] Checking tx_Data_request for 793589 times 
[44.0] Checking tx_Data_request for 793590 times 
[44.0] Checking tx_Data_request for 793591 times 
[44.0] Checking tx_Data_request for 793592 times 
[44.0] Checking tx_Data_request for 793593 times 
[44.0] Checking tx_Data_request for 793594 times 
[44.0] Checking tx_Data_request for 793595 times 
[44.0] Checking tx_Data_request for 793596 times 
[44.0] Checking tx_Data_request for 793597 times 
[44.0] Checking tx_Data_request for 793598 times 
[44.0] Checking tx_Data_request for 793599 times 
[44.0] Checking tx_Data_request for 793600 times 
[44.0] Checking tx_Data_request for 793601 times 
[44.0] Checking tx_Data_request for 793602 times 
[44.0] Checking tx_Data_request for 793603 times 
[44.0] Checking tx_Data_request for 793604 times 
[44.0] Checking tx_Data_request for 793605 times 
[44.0] Checking tx_Data_request for 793606 times 
[44.0] Checking tx_Data_request for 793607 times 
[44.0] Checking tx_Data_request for 793608 times 
[44.0] Checking tx_Data_request for 793609 times 
[44.0] Checking tx_Data_request for 793610 tim[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0mes 
[44.0] Checking tx_Data_request for 793611 times 
[44.0] Checking tx_Data_request for 793612 times 
[44.0] Checking tx_Data_request for 793613 times 
[44.0] Checking tx_Data_request for 793614 times 
[44.0] Checking tx_Data_request for 793615 times 
[44.0] Checking tx_Data_request for 793616 times 
[44.0] Checking tx_Data_request for 793617 times 
[44.0] Checking tx_Data_request for 793618 times 
[44.0] Checking tx_Data_request for 793619 times 
[44.0] Checking tx_Data_request for 793620 times 
[44.0] Checking tx_Data_request for 793621 times 
[44.0] Checking tx_Data_request for 793622 times 
[44.0] Checking tx_Data_request for 793623 times 
[44.0] Checking tx_Data_request for 793624 times 
[44.0] Checking tx_Data_request for 793625 times 
[44.0] Checking tx_Data_request for 793626 times 
[44.0] Checking tx_Data_request for 793627 times 
[44.0] Checking tx_Data_request for 793628 times 
[44.0] Checking tx_Data_request for 793629 times 
[44.0] Checking tx_Data_request for 793630 times 
[44.0] Checking tx_Data_request for 793631 times 
[44.0] Checking tx_Data_request for 793632 times 
[44.0] Checking tx_Data_request for 793633 times 
[44.0] Checking tx_Data_request for 793634 times 
[44.0] Checking tx_Data_request for 793635 times 
[44.0] Checking tx_Data_request for 793636 times 
[44.0] Checking tx_Data_request for 793637 times 
[44.0] Checking tx_Data_request for 793638 times 
[44.0] Checking tx_Data_request for 793639 times 
