NAME     READY   STATUS             RESTARTS      AGE     IP                NODE      NOMINATED NODE   READINESS GATES
ue-29    1/2     CrashLoopBackOff   3 (35s ago)   4m56s   10.244.21.9       ins46vm   <none>           <none>
ue-3     1/2     CrashLoopBackOff   3 (30s ago)   4m56s   10.244.71.7       ins42vm   <none>           <none>
ue-30    2/2     Running            1 (84s ago)   4m56s   10.244.35.7       ins21vm   <none>           <none>
ue-31    2/2     Running            1 (83s ago)   4m56s   10.244.2.10       ins43vm   <none>           <none>
ue-32    2/2     Running            0             4m56s   10.244.82.8       ins48vm   <none>           <none>
ue-33    2/2     Running            0             4m56s   10.244.77.6       ins1vm    <none>           <none>
ue-34    2/2     Running            1 (83s ago)   4m56s   10.244.5.6        ins51vm   <none>           <none>
ue-35    1/2     CrashLoopBackOff   3 (34s ago)   4m55s   10.244.11.8       ins69vm   <none>           <none>
ue-36    1/2     CrashLoopBackOff   3 (34s ago)   4m55s   10.244.52.10      ins28vm   <none>           <none>
ue-37    2/2     Running            1 (84s ago)   4m55s   10.244.76.9       ins50vm   <none>           <none>
ue-38    1/2     CrashLoopBackOff   3 (29s ago)   4m55s   10.244.61.9       ins20vm   <none>           <none>
ue-39    1/2     CrashLoopBackOff   3 (30s ago)   4m55s   10.244.65.8       ins29vm   <none>           <none>
ue-4     2/2     Running            1 (84s ago)   4m56s   10.244.90.7       ins60vm   <none>           <none>
ue-40    2/2     Running            0             4m55s   10.244.98.7       ins39vm   <none>           <none>
ue-41    1/2     CrashLoopBackOff   3 (30s ago)   4m55s   10.244.99.8       ins5vm    <none>           <none>
ue-42    2/2     Running            1 (83s ago)   4m54s   10.244.78.5       ins56vm   <none>           <none>
ue-43    2/2     Running            1 (83s ago)   4m55s   10.244.3.9        ins31vm   <none>           <none>
ue-44    1/2     CrashLoopBackOff   3 (33s ago)   4m56s   10.244.39.11      ins64vm   <none>           <none>
ue-45    2/2     Running            1 (83s ago)   4m55s   10.244.68.10      ins25vm   <none>           <none>
ue-46    2/2     Running            1 (83s ago)   4m55s   10.244.89.8       ins40vm   <none>           <none>
ue-47    2/2     Running            0             4m55s   10.244.95.9       ins11vm   <none>           <none>
ue-48    2/2     Running            1 (83s ago)   4m55s   10.244.97.9       ins32vm   <none>           <none>
ue-49    2/2     Running            0             4m55s   10.244.66.9       ins12vm   <none>           <none>
ue-5     2/2     Running            1 (83s ago)   4m56s   10.244.79.8       ins68vm   <none>           <none>
