# proxy downlink barrier profile
# arm_clock_monotonic_ns=96136833467440
# arm_clock_realtime_ns=1785737022813528223
# dump_clock_monotonic_ns=96209914420233
# dump_clock_realtime_ns=1785737095894481106
# realtime_monotonic_drift_ns=-90
# rounds_recorded=7568 slot_indications_recorded=189176
# round_seq_range=48529..56096
# times are ns; seg_* are us; skip lines beginning with '#'
round_seq,sfn,slot,gnb_count,sfn_slot_mismatch,latest_gnb_id,seg1_kernel_to_wake_us,seg2a_lock_blocked_us,seg2b_drain_us,seg2c_fanout_us,seg3a_unpack_us,seg3b_lock_wait_us,seg4_lock_to_flag_us,seg5a_ue_phase_us,seg5b_gnb_phase_us,seg6_ack_us,total_wait_us,msgs_before_slotind,t0_kernel_real_ns,t0_kernel_mono_ns,t1_wake_ns,t2_dispatch_ns,t2b_prelock_ns,t3_locked_ns,t4_max_ns,lock_blocked_ns,fanout_held_ns,t5_round_start_ns,t6_ue_done_ns,t7_gnb_done_ns,t8_ack_sent_ns,really_finished_ue,really_finished_gnb
48559,379,19,25,0,9,11.722,5786.053,43.101,363.822,21.801,1194.899,87.424,0.000,8.707,9.618,7527.147,1,1785737023103597226,96137123536443,96137123548165,96137129741141,96137129762942,96137130957841,96137131045265,5786053,363822,96137118032999,96137123430675,96137131053972,96137131063590,1,1
48560,380,0,25,0,23,-10.310,16846.993,768.319,477.796,41.798,4071.240,98.154,0.000,7.634,22.172,22323.796,2,1785737023112173389,96137132112606,96137132102296,96137150195404,96137150237202,96137154308442,96137154406596,16846993,477796,96137131341841,96137134099890,96137154414230,96137154436402,1,1
48561,380,1,25,0,1,-15.329,17448.118,508.673,886.983,23.654,177.764,88.415,0.000,2.735,16.612,19137.625,3,1785737023135381001,96137155320218,96137155304889,96137174148663,96137174172317,96137174350081,96137174438496,17448118,886983,96137154879422,96137157947562,96137174441231,96137174457843,1,1
48562,380,2,25,0,18,10.320,0.000,4.738,0.000,21.651,1853.774,199.484,0.000,6.973,13.515,2110.455,0,1785737023158399388,96137178338605,96137178348925,96137178353663,96137178375314,96137180229088,96137180428572,0,0,96137174826804,96137178154059,96137180435545,96137180449060,1,1
48563,380,3,25,0,14,12.002,0.000,4.429,0.000,20.017,2654.394,279.324,0.000,5.179,13.756,2989.101,0,1785737023164184350,96137184123567,96137184135569,96137184139998,96137184160015,96137186814409,96137187093733,0,0,96137180797403,96137183796404,96137187098912,96137187112668,1,1
48564,380,4,25,0,11,12.844,0.000,5.971,0.000,15.699,1445.449,279.634,0.000,4.318,12.373,1776.288,0,1785737023171838775,96137191777992,96137191790836,96137191796807,96137191812506,96137193257955,96137193537589,0,0,96137187518028,96137191608263,96137193541907,96137193554280,1,1
48565,380,5,25,0,0,13.375,0.000,4.639,0.000,21.370,2644.536,216.195,0.000,4.408,12.814,2917.337,0,1785737023177971117,96137197910334,96137197923709,96137197928348,96137197949718,96137200594254,96137200810449,0,0,96137194021837,96137197719927,96137200814857,96137200827671,1,1
48566,380,6,25,0,7,14.998,0.000,5.671,0.000,17.643,2709.538,302.166,0.000,4.969,13.806,3068.791,0,1785737023184852523,96137204791740,96137204806738,96137204812409,96137204830052,96137207539590,96137207841756,0,0,96137201291681,96137204611232,96137207846725,96137207860531,1,1
48567,380,7,25,0,5,21.620,946.013,39.595,218.459,18.885,0.060,120.135,0.000,2.294,14.969,1382.030,1,1785737023199424021,96137219363238,96137219384858,96137220588925,96137220607810,96137220607870,96137220728005,946013,218459,96137208379905,96137217997879,96137220730299,96137220745268,0,1
48568,380,8,25,0,0,12.192,0.000,4.589,0.000,22.362,2841.345,176.962,0.000,9.147,19.947,3086.544,0,1785737023204520071,96137224459288,96137224471480,96137224476069,96137224498431,96137227339776,96137227516738,0,0,96137221071609,96137224271446,96137227525885,96137227545832,1,1
48569,380,9,25,0,7,20.018,0.000,4.098,0.000,20.157,3840.838,299.251,0.000,4.910,13.615,4202.887,0,1785737023210943458,96137230882675,96137230902693,96137230906791,96137230926948,96137234767786,96137235067037,0,0,96137228041501,96137230655550,96137235071947,96137235085562,1,1
48570,380,10,25,0,0,17.032,0.000,4.799,0.000,21.831,1380.968,154.259,0.000,4.339,12.012,1595.240,0,1785737023220344997,96137240284214,96137240301246,96137240306045,96137240327876,96137241708844,96137241863103,0,0,96137235560462,96137240088788,96137241867442,96137241879454,1,1
48571,380,11,25,0,3,13.455,0.000,5.450,0.000,18.715,1536.299,319.910,0.000,7.474,16.200,1917.503,0,1785737023226525170,96137246464387,96137246477842,96137246483292,96137246502007,96137248038306,96137248358216,0,0,96137242210354,96137246283578,96137248365690,96137248381890,1,1
48572,380,12,25,0,1,13.275,5038.191,34.465,332.614,22.512,4830.101,293.280,0.000,3.366,20.599,10588.403,1,1785737023230051468,96137249990685,96137250003960,96137255409230,96137255431742,96137260261843,96137260555123,5038191,332614,96137248799973,96137249795189,96137260558489,96137260579088,1,1
48573,380,13,25,0,16,22.021,1782.440,35.206,336.060,23.474,0.070,93.726,0.000,4.549,12.243,2309.789,1,1785737023251001830,96137270941047,96137270963068,96137273116774,96137273140248,96137273140318,96137273234044,1782440,336060,96137261031516,96137270730582,96137273238593,96137273250836,1,1
48574,380,14,25,0,5,14.917,0.000,4.970,0.000,21.841,2582.460,217.537,0.000,6.182,13.405,2861.312,0,1785737023257343555,96137277282772,96137277297689,96137277302659,96137277324500,96137279906960,96137280124497,0,0,96137273726146,96137277165993,96137280130679,96137280144084,1,1
48575,380,15,25,0,8,14.457,0.000,4.759,0.000,17.583,3562.707,311.974,0.000,4.289,13.184,3928.953,0,1785737023263813169,96137283752386,96137283766843,96137283771602,96137283789185,96137287351892,96137287663866,0,0,96137280571725,96137283574723,96137287668155,96137287681339,1,1
48576,380,16,25,0,19,12.824,0.000,4.548,0.000,22.262,1411.285,194.574,0.000,6.643,11.522,1663.658,0,1785737023272735350,96137292674567,96137292687391,96137292691939,96137292714201,96137294125486,96137294320060,0,0,96137287979228,96137292489229,96137294326703,96137294338225,1,1
48577,380,17,25,0,1,14.828,5664.405,41.308,328.926,21.851,2504.424,179.075,0.000,8.877,12.223,8775.917,1,1785737023278474074,96137298413291,96137298428119,96137304462758,96137304484609,96137306989033,96137307168108,5664405,328926,96137294718968,96137298224177,96137307176985,96137307189208,1,1
48578,380,18,25,0,6,-11.011,5273.994,44.564,341.149,23.123,1290.368,170.921,0.000,6.191,12.814,7152.113,1,1785737023292760177,96137312699394,96137312688383,96137318348090,96137318371213,96137319661581,96137319832502,5273994,341149,96137307475254,96137312484060,96137319838693,96137319851507,1,1
48579,380,19,25,0,17,13.335,4712.983,36.669,342.451,21.700,643.376,154.089,0.000,4.308,13.015,5941.926,1,1785737023305834940,96137325774157,96137325787492,96137330879595,96137330901295,96137331544671,96137331698760,4712983,342451,96137320135640,96137325600672,96137331703068,96137331716083,1,1
48580,381,0,25,0,15,10.670,0.000,4.018,0.000,16.250,3895.280,300.894,0.000,1.483,19.526,4248.121,0,1785737023314476184,96137334415401,96137334426071,96137334430089,96137334446339,96137338341619,96137338642513,0,0,96137332239453,96137334260130,96137338643996,96137338663522,1,1
48581,381,1,25,0,11,-29.816,11075.506,463.108,696.014,16.832,0.070,94.056,0.000,2.595,16.912,12335.277,3,1785737023319534774,96137339473991,96137339444175,96137351678803,96137351695635,96137351695705,96137351789761,11075506,696014,96137338955910,96137340585154,96137351792356,96137351809268,1,1
48582,381,2,25,0,11,-11.502,5017.563,380.793,405.621,17.333,0.080,78.106,0.000,8.376,13.726,5910.096,2,1785737023333122328,96137353061545,96137353050043,96137358854020,96137358871353,96137358871433,96137358949539,5017563,405621,96137352315667,96137354337726,96137358957915,96137358971641,1,1
48583,381,3,25,0,2,9.999,0.000,4.529,0.000,22.562,3963.277,232.155,0.000,4.188,12.764,4249.474,0,1785737023341100569,96137361039786,96137361049785,96137361054314,96137361076876,96137365040153,96137365272308,0,0,96137359391708,96137360848668,96137365276496,96137365289260,1,1
48584,381,4,25,0,23,12.413,0.000,5.410,0.000,19.617,575.589,293.089,0.000,6.402,13.325,925.845,0,1785737023351271841,96137371211058,96137371223471,96137371228881,96137371248498,96137371824087,96137372117176,0,0,96137365690492,96137371026562,96137372123578,96137372136903,1,1
48585,381,5,25,0,22,12.393,0.000,3.777,0.000,18.334,2612.536,326.352,0.000,8.305,11.021,2992.718,0,1785737023355498232,96137375437449,96137375449842,96137375453619,96137375471953,96137378084489,96137378410841,0,0,96137372610971,96137375251480,96137378419146,96137378430167,1,1
48586,381,6,25,0,9,14.106,0.000,6.603,0.000,16.270,4717.722,224.861,0.000,6.622,25.308,5011.492,0,1785737023360728413,96137380667630,96137380681736,96137380688339,96137380704609,96137385422331,96137385647192,0,0,96137378739246,96137380494085,96137385653814,96137385679122,1,1
48587,381,7,25,0,5,23.324,499.186,45.865,303.028,22.873,0.050,123.892,0.000,7.424,23.314,1048.956,1,1785737023377603658,96137397542875,96137397566199,96137398414278,96137398437151,96137398437201,96137398561093,499186,303028,96137386034808,96137395667410,96137398568517,96137398591831,0,1
48588,381,8,25,0,0,11.632,0.000,4.508,0.000,19.647,2317.413,336.821,0.000,6.633,28.102,2724.756,0,1785737023382387343,96137402326560,96137402338192,96137402342700,96137402362347,96137404679760,96137405016581,0,0,96137398829266,96137402135752,96137405023214,96137405051316,1,1
48589,381,9,25,0,3,13.706,0.000,5.350,0.000,22.973,2221.834,123.311,0.000,7.564,15.930,2410.668,0,1785737023389555566,96137409494783,96137409508489,96137409513839,96137409536812,96137411758646,96137411881957,0,0,96137405498985,96137409283507,96137411889521,96137411905451,1,1
48590,381,10,25,0,10,18.103,0.000,6.312,0.000,18.214,2284.752,399.589,0.000,8.446,18.194,2753.610,0,1785737023396115821,96137416055038,96137416073141,96137416079453,96137416097667,96137418382419,96137418782008,0,0,96137412386763,96137415849272,96137418790454,96137418808648,1,1
48591,381,11,25,0,17,10.780,0.000,3.687,0.000,22.372,4453.216,120.656,0.000,2.875,17.553,4631.139,0,1785737023400715651,96137420654868,96137420665648,96137420669335,96137420691707,96137425144923,96137425265579,0,0,96137419253532,96137420487474,96137425268454,96137425286007,1,1
48592,381,12,25,0,0,-66.074,5084.779,35.156,363.932,18.615,1830.390,118.442,0.000,4.879,23.404,7413.523,1,1785737023410408055,96137430347272,96137430281198,96137435765065,96137435783680,96137437614070,96137437732512,5084779,363932,96137425532850,96137430061266,96137437737391,96137437760795,1,1
