round_index,proxy_id,sfn,slot,gnb_count,gnb_ips,first_slot_ts_us,latest_slot_ts_us,ack_ts_us,slot_spread_us,wait_us,wait_ms,ack_packet,ack_slot_byte
29,0,961,5,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378241446,1786168378244509,1786168378248155,3063,3646,3.646000,8678,0
30,0,961,6,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378248954,1786168378249803,1786168378255126,849,5323,5.323000,8882,0
31,0,961,7,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378261865,1786168378263326,1786168378274721,1461,11395,11.395000,9187,0
32,0,961,8,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378276286,1786168378277580,1786168378282417,1294,4837,4.837000,9491,0
33,0,961,9,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378289173,1786168378289920,1786168378295127,747,5207,5.207000,9795,0
34,0,961,10,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378296206,1786168378297306,1786168378302440,1100,5134,5.134000,10000,0
35,0,961,11,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378304162,1786168378306466,1786168378310279,2304,3813,3.813000,10204,0
36,0,961,12,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378316779,1786168378317592,1786168378329314,813,11722,11.722000,10508,0
37,0,961,13,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378329930,1786168378330843,1786168378342516,913,11673,11.673000,10813,0
38,0,961,14,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378343158,1786168378347042,1786168378349278,3884,2236,2.236000,11019,0
