Calling sched_setscheduler(79)
[LIBCONFIG] log_config: 3/3 parameters successfully set, (1 to default value)
[LIBCONFIG] log_config: 53/53 parameters successfully set, (45 to default value)
[LIBCONFIG] log_config: 53/53 parameters successfully set, (53 to default value)
[LIBCONFIG] log_config: 16/16 parameters successfully set, (16 to default value)
[LIBCONFIG] log_config: 16/16 parameters successfully set, (16 to default value)
log init done
[LIBCONFIG] (root): 33/33 parameters successfully set, (30 to default value)
[LIBCONFIG] (root): 41/41 parameters successfully set, (38 to default value)
[LIBCONFIG] (root): 6/6 parameters successfully set, (5 to default value)
[LIBCONFIG] TTracer: 3/3 parameters successfully set, (3 to default value)
create a thread for core -1
create a thread for core -1
create a thread for core -1
create a thread for core -1
create a thread for core -1
create a thread for core -1
create a thread for core -1
create a thread for core -1
[LIBCONFIG] opt: 3/3 parameters successfully set, (3 to default value)
[LIBCONFIG] loader: 2/2 parameters successfully set, (2 to default value)
[LIBCONFIG] loader.ldpc: 2/2 parameters successfully set, (1 to default value)
shlib_path libldpc.so
[LOADER] library libldpc.so successfully loaded
[LIBCONFIG] nas.noS1: 3/3 parameters successfully set, (3 to default value)
[LIBCONFIG] MACRLCs.[0]: 34/34 parameters successfully set, (25 to default value)
[LIBCONFIG] (root): 30/30 parameters successfully set, (28 to default value)
Ujjwal: start -> 0
TYPE <CTRL-C> TO TERMINATE
[LIBCONFIG] uicc0: 10/10 parameters successfully set, (5 to default value)
Entering ITTI signals handler
TYPE <CTRL-C> TO TERMINATE
slot 4 index 0 rnti affa mcs 9
slot 4 index 0 rnti affa mcs 9
kgnb : 1d d1 f8 05 b2 da 25 af 2d c9 a9 7b b4 b4 5a ef 64 c0 31 e3 30 0b c3 cc 4c 18 f3 a0 b2 c0 6e c9 
kausf:69 f7 2e 75 4a 59 e0 a1 d1 80 d6 d4 b0 b9 91 2b 22 75 4b 48 a2 44 e0 a4 63 b2 e1 cf 17 b1 25 44 
kseaf:1c 8b 18 32 1 6 f0 dd 96 90 34 ba 3f 53 f0 ee 1a 58 5d 7d ee f ff a9 b0 db 53 63 51 b2 e1 ec 
kamf:19 d4 ec 32 a5 43 1e 33 f 21 5d 31 41 a9 76 98 f bf 82 19 b1 ff eb ef 71 fd 90 82 6 76 ab b1 
knas_int:
61 90 61 c9 83 15 d2 21 b2 b 1 1a ce 3b c8 67 
slot 4 index 0 rnti affa mcs 9
slot 14 index 0 rnti affa mcs 9
mac fc 6d ac 90 
slot 4 index 0 rnti affa mcs 9
slot 15 index 0 rnti affa mcs 9
[NR_RRC]   driving kRRCenc, kRRCint and kUPenc from KgNB=1d d1 f8 05 b2 da 25 af 2d c9 a9 7b b4 b4 5a ef 64 c0 31 e3 30 0b c3 cc 4c 18 f3 a0 b2 c0 6e c9 [0m
[NR_RRC]   securityModeComplete payload: 2c 00 00 00 00 00 00 00 08 00 00 00 00 00 00 00 [0m
slot 4 index 0 rnti affa mcs 9
<UE-NR-Capability>
    <accessStratumRelease><rel15/></accessStratumRelease>
    <pdcp-Parameters>
        <supportedROHC-Profiles>
            <profile0x0000><false/></profile0x0000>
            <profile0x0001><false/></profile0x0001>
            <profile0x0002><false/></profile0x0002>
            <profile0x0003><false/></profile0x0003>
            <profile0x0004><false/></profile0x0004>
            <profile0x0006><false/></profile0x0006>
            <profile0x0101><false/></profile0x0101>
            <profile0x0102><false/></profile0x0102>
            <profile0x0103><false/></profile0x0103>
            <profile0x0104><false/></profile0x0104>
        </supportedROHC-Profiles>
        <maxNumberROHC-ContextSessions><cs2/></maxNumberROHC-ContextSessions>
    </pdcp-Parameters>
    <phy-Parameters>
    </phy-Parameters>
    <rf-Parameters>
        <supportedBandListNR>
            <BandNR>
                <bandNR>1</bandNR>
            </BandNR>
        </supportedBandListNR>
    </rf-Parameters>
</UE-NR-Capability>
slot 4 index 0 rnti affa mcs 9
slot 4 index 0 rnti affa mcs 9
slot 4 index 0 rnti affa mcs 9
slot 4 index 0 rnti affa mcs 9
slot 4 index 0 rnti affa mcs 9
slot 4 index 0 rnti affa mcs 9
slot 15 index 0 rnti affa mcs 9
mac 6a 4f b0 98 
slot 4 index 0 rnti affa mcs 8
mac 8c 80 4a dc 
slot 4 index 0 rnti affa mcs 8
slot 4 index 0 rnti affa mcs 8
slot 14 index 0 rnti affa mcs 8
[LIBCONFIG] nas.noS1: 3/3 parameters successfully set, (3 to default value)
slot 4 index 0 rnti affa mcs 8
